stage,expert_min_rows,expert_min_field_support,expert_fallback,structure_weight,field_weight,field_mode,expert_field_model,canonical_exact_match,root_entity_accuracy,p95_ms
routing,30,1,rules,0.3,2.0,mean_probability,classifier_chain,0.14285714285714285,0.9642857142857143,70.14994000201114
routing,30,1,shared,0.3,2.0,mean_probability,classifier_chain,0.14285714285714285,0.9642857142857143,98.73804900053074
routing,30,2,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,72.05712499853689
routing,30,2,shared,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,115.90266200073529
routing,30,3,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,105.47348100226372
routing,30,3,shared,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,157.21818600286497
routing,30,5,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,168.05720499905874
routing,30,5,shared,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,110.63106599976891
routing,40,1,rules,0.3,2.0,mean_probability,classifier_chain,0.14285714285714285,0.9642857142857143,83.88105400081258
routing,40,1,shared,0.3,2.0,mean_probability,classifier_chain,0.14285714285714285,0.9642857142857143,79.85690500208875
routing,40,2,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,98.12524099834263
routing,40,2,shared,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,78.86066799983382
routing,40,3,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,83.34217599986005
routing,40,3,shared,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,102.79220699885627
routing,40,5,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,94.84339799746522
routing,40,5,shared,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,93.96446799655678
routing,50,1,rules,0.3,2.0,mean_probability,classifier_chain,0.14285714285714285,0.9642857142857143,75.49905699852388
routing,50,1,shared,0.3,2.0,mean_probability,classifier_chain,0.16071428571428573,0.9642857142857143,72.15677099884488
routing,50,2,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,77.80722200186574
routing,50,2,shared,0.3,2.0,mean_probability,classifier_chain,0.15178571428571427,0.9642857142857143,95.28520599997137
routing,50,3,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,68.98131900015869
routing,50,3,shared,0.3,2.0,mean_probability,classifier_chain,0.15178571428571427,0.9642857142857143,70.66622199999983
routing,50,5,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,82.08975900197402
routing,50,5,shared,0.3,2.0,mean_probability,classifier_chain,0.15178571428571427,0.9642857142857143,79.23735599979409
routing,60,1,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,75.71763300074963
routing,60,1,shared,0.3,2.0,mean_probability,classifier_chain,0.17857142857142858,0.9642857142857143,81.07976999963284
routing,60,2,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,81.50383099928149
routing,60,2,shared,0.3,2.0,mean_probability,classifier_chain,0.17857142857142858,0.9642857142857143,82.13993199751712
routing,60,3,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,110.7395520011778
routing,60,3,shared,0.3,2.0,mean_probability,classifier_chain,0.17857142857142858,0.9642857142857143,156.1997490025533
routing,60,5,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,140.00373399903765
routing,60,5,shared,0.3,2.0,mean_probability,classifier_chain,0.17857142857142858,0.9642857142857143,129.32697599899257
routing,80,1,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,106.86052900200593
routing,80,1,shared,0.3,2.0,mean_probability,classifier_chain,0.17857142857142858,0.9642857142857143,96.1144319990126
routing,80,2,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,92.13552300207084
routing,80,2,shared,0.3,2.0,mean_probability,classifier_chain,0.17857142857142858,0.9642857142857143,101.57221999907051
routing,80,3,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,99.02290199897834
routing,80,3,shared,0.3,2.0,mean_probability,classifier_chain,0.17857142857142858,0.9642857142857143,109.0471190000244
routing,80,5,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,121.51426100172102
routing,80,5,shared,0.3,2.0,mean_probability,classifier_chain,0.17857142857142858,0.9642857142857143,118.30145900239586
routing,164,1,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,14.747999997780425
routing,164,1,shared,0.3,2.0,mean_probability,classifier_chain,0.17857142857142858,0.9642857142857143,20.591257001797203
routing,164,2,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,14.280497998697683
routing,164,2,shared,0.3,2.0,mean_probability,classifier_chain,0.17857142857142858,0.9642857142857143,19.799014000454918
routing,164,3,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,14.27440900079091
routing,164,3,shared,0.3,2.0,mean_probability,classifier_chain,0.17857142857142858,0.9642857142857143,19.94605700019747
routing,164,5,rules,0.3,2.0,mean_probability,classifier_chain,0.13392857142857142,0.9642857142857143,12.719181999273133
routing,164,5,shared,0.3,2.0,mean_probability,classifier_chain,0.17857142857142858,0.9642857142857143,17.965399001695914
scoring,60,1,shared,0.0,1.0,mean_probability,classifier_chain,0.16964285714285715,0.9642857142857143,102.18562299996847
scoring,60,1,shared,0.3,1.0,mean_probability,classifier_chain,0.17857142857142858,0.9642857142857143,89.03110300161643
scoring,60,1,shared,0.3,2.0,mean_probability,classifier_chain,0.17857142857142858,0.9642857142857143,91.85729000091669
scoring,60,1,shared,0.5,1.0,topk_f1,classifier_chain,0.17857142857142858,0.9642857142857143,86.77954499944462
scoring,60,1,shared,0.0,1.0,mean_probability,independent,0.16964285714285715,0.9642857142857143,31.99262799898861
scoring,60,1,shared,0.3,1.0,mean_probability,independent,0.17857142857142858,0.9642857142857143,30.949620999308536
scoring,60,1,shared,0.3,2.0,mean_probability,independent,0.17857142857142858,0.9642857142857143,31.874854998022784
scoring,60,1,shared,0.5,1.0,topk_f1,independent,0.17857142857142858,0.9642857142857143,36.49597099865787
